,0,1,speaker,start,end
241,[ 02:06:31.142 -->  02:07:32.500],DS,SPEAKER_00,7591.1428125,7652.5003125
242,[ 02:07:32.331 -->  02:07:35.774],LV,SPEAKER_01,7652.331562500001,7655.774062500001
243,[ 02:07:35.385 -->  02:07:52.497],DT,SPEAKER_00,7655.385937500001,7672.497187500001
244,[ 02:07:52.497 -->  02:08:06.284],LW,SPEAKER_01,7672.497187500001,7686.284062500001
245,[ 02:08:04.984 -->  02:08:05.355],DU,SPEAKER_00,7684.9846875,7685.3559375
246,[ 02:08:06.284 -->  02:08:40.894],DV,SPEAKER_00,7686.284062500001,7720.8946875
247,[ 02:08:26.534 -->  02:08:26.736],LX,SPEAKER_01,7706.534062500001,7706.7365625
248,[ 02:08:40.506 -->  02:09:02.005],LY,SPEAKER_01,7720.506562500001,7742.005312500001
249,[ 02:09:02.005 -->  02:09:41.239],DW,SPEAKER_00,7742.005312500001,7781.239687500001
250,[ 02:09:42.589 -->  02:09:46.943],DX,SPEAKER_00,7782.5896875,7786.9434375
251,[ 02:09:46.943 -->  02:10:32.657],LZ,SPEAKER_01,7786.9434375,7832.6578125000015
252,[ 02:10:32.657 -->  02:14:14.024],DY,SPEAKER_00,7832.6578125000015,8054.024062500001
253,[ 02:14:14.732 -->  02:15:24.494],DZ,SPEAKER_00,8054.7328125,8124.4940625
254,[ 02:15:24.494 -->  02:15:31.395],MA,SPEAKER_01,8124.4940625,8131.395937500001
255,[ 02:15:32.847 -->  02:15:50.363],MB,SPEAKER_01,8132.847187500001,8150.3634375
256,[ 02:15:44.440 -->  02:15:45.115],EA,SPEAKER_00,8144.440312500001,8145.1153125
257,[ 02:15:50.363 -->  02:16:22.004],EB,SPEAKER_00,8150.3634375,8182.0040625
258,[ 02:16:22.004 -->  02:16:25.581],MC,SPEAKER_01,8182.0040625,8185.581562500001
259,[ 02:16:26.526 -->  02:16:28.062],EC,SPEAKER_00,8186.526562500001,8188.0621875000015
260,[ 02:16:27.809 -->  02:16:38.507],MD,SPEAKER_01,8187.8090625,8198.5078125
261,[ 02:16:38.507 -->  02:19:42.040],ED,SPEAKER_00,8198.5078125,8382.040312500001
262,[ 02:19:32.674 -->  02:19:34.260],ME,SPEAKER_01,8372.674687499999,8374.2609375
263,[ 02:19:42.040 -->  02:19:54.983],MF,SPEAKER_01,8382.040312500001,8394.9834375
264,[ 02:19:55.084 -->  02:20:08.331],EE,SPEAKER_00,8395.084687499999,8408.3315625
265,[ 02:20:07.572 -->  02:20:10.491],MG,SPEAKER_01,8407.572187499998,8410.4915625
266,[ 02:20:09.816 -->  02:20:25.442],EF,SPEAKER_00,8409.8165625,8425.442812499998
267,[ 02:20:25.442 -->  02:20:29.425],MH,SPEAKER_01,8425.442812499998,8429.4253125
268,[ 02:20:29.070 -->  02:20:44.410],EG,SPEAKER_00,8429.0709375,8444.4103125
269,[ 02:20:39.685 -->  02:20:40.360],MI,SPEAKER_01,8439.685312499998,8440.3603125
270,[ 02:20:43.836 -->  02:20:48.730],MJ,SPEAKER_01,8443.8365625,8448.7303125
271,[ 02:20:47.414 -->  02:20:57.606],EH,SPEAKER_00,8447.4140625,8457.606562500001
272,[ 02:20:50.198 -->  02:20:50.282],MK,SPEAKER_01,8450.1984375,8450.282812499998
273,[ 02:20:56.982 -->  02:20:59.901],ML,SPEAKER_01,8456.982187499998,8459.9015625
274,[ 02:20:59.243 -->  02:21:04.440],EI,SPEAKER_00,8459.243437500001,8464.4409375
275,[ 02:21:04.440 -->  02:21:11.207],MM,SPEAKER_01,8464.4409375,8471.2078125
276,[ 02:21:08.828 -->  02:21:25.450],EJ,SPEAKER_00,8468.8284375,8485.450312500001
277,[ 02:21:23.391 -->  02:21:35.339],MN,SPEAKER_01,8483.3915625,8495.3390625
278,[ 02:21:27.222 -->  02:21:27.374],EK,SPEAKER_00,8487.2221875,8487.3740625
279,[ 02:21:29.415 -->  02:21:29.922],EL,SPEAKER_00,8489.415937499998,8489.9221875
280,[ 02:21:34.495 -->  02:21:48.450],EM,SPEAKER_00,8494.4953125,8508.450937499998
281,[ 02:21:44.603 -->  02:21:46.257],MO,SPEAKER_01,8504.603437499998,8506.2571875
282,[ 02:21:48.450 -->  02:21:51.454],MP,SPEAKER_01,8508.450937499998,8511.454687499998
283,[ 02:21:50.070 -->  02:22:06.186],EN,SPEAKER_00,8510.0709375,8526.1865625
284,[ 02:22:04.650 -->  02:22:10.776],MQ,SPEAKER_01,8524.650937499999,8530.7765625
285,[ 02:22:08.397 -->  02:22:23.483],EO,SPEAKER_00,8528.397187499999,8543.4834375
286,[ 02:22:24.917 -->  02:22:32.022],EP,SPEAKER_00,8544.9178125,8552.022187499999
287,[ 02:22:31.279 -->  02:22:35.498],MR,SPEAKER_01,8551.279687499999,8555.498437499999
288,[ 02:22:35.498 -->  02:22:48.542],EQ,SPEAKER_00,8555.498437499999,8568.5428125
289,[ 02:22:48.188 -->  02:22:52.491],MS,SPEAKER_01,8568.1884375,8572.4915625
290,[ 02:22:52.491 -->  02:23:07.409],ER,SPEAKER_00,8572.4915625,8587.409062499999
291,[ 02:23:07.307 -->  02:23:11.577],MT,SPEAKER_01,8587.3078125,8591.5771875
292,[ 02:23:08.759 -->  02:23:15.998],ES,SPEAKER_00,8588.759062500001,8595.998437499999
293,[ 02:23:15.998 -->  02:24:18.604],MU,SPEAKER_01,8595.998437499999,8658.6046875
294,[ 02:24:04.463 -->  02:24:04.784],ET,SPEAKER_00,8644.463437499999,8644.784062499999
295,[ 02:24:17.507 -->  02:27:02.444],EU,SPEAKER_00,8657.5078125,8822.444062499999
296,[ 02:24:21.540 -->  02:24:22.502],MV,SPEAKER_01,8661.540937499998,8662.502812499999
297,[ 02:24:37.403 -->  02:24:37.656],MW,SPEAKER_01,8677.403437500001,8677.6565625
298,[ 02:27:02.444 -->  02:27:37.206],MX,SPEAKER_01,8822.444062499999,8857.2065625
299,[ 02:27:29.832 -->  02:27:30.051],EV,SPEAKER_00,8849.8321875,8850.0515625
300,[ 02:27:37.206 -->  02:28:15.951],EW,SPEAKER_00,8857.2065625,8895.951562499999
301,[ 02:28:15.951 -->  02:28:39.036],MY,SPEAKER_01,8895.951562499999,8919.036562499998
302,[ 02:28:26.599 -->  02:28:27.747],EX,SPEAKER_00,8906.599687499998,8907.747187500001
303,[ 02:28:37.247 -->  02:29:12.634],EY,SPEAKER_00,8917.247812499998,8952.634687499998
304,[ 02:29:12.870 -->  02:29:33.711],MZ,SPEAKER_01,8952.8709375,8973.7115625
305,[ 02:29:16.431 -->  02:29:17.899],EZ,SPEAKER_00,8956.431562499998,8957.899687500001
306,[ 02:29:32.732 -->  02:29:47.869],FA,SPEAKER_00,8972.732812499999,8987.869687499999
307,[ 02:29:47.329 -->  02:30:05.993],NA,SPEAKER_01,8987.329687499998,9005.993437500001
308,[ 02:30:03.749 -->  02:30:04.002],FB,SPEAKER_00,9003.7490625,9004.002187499998
309,[ 02:30:05.993 -->  02:31:16.598],FC,SPEAKER_00,9005.993437500001,9076.5984375
310,[ 02:30:19.763 -->  02:30:19.965],NB,SPEAKER_01,9019.763437499998,9019.965937500001
311,[ 02:31:16.598 -->  02:31:48.542],NC,SPEAKER_01,9076.5984375,9108.5428125
312,[ 02:31:48.795 -->  02:32:12.505],FD,SPEAKER_00,9108.7959375,9132.505312499998
313,[ 02:32:12.505 -->  02:32:22.444],ND,SPEAKER_01,9132.505312499998,9142.4446875
314,[ 02:32:22.444 -->  02:34:29.766],FE,SPEAKER_00,9142.4446875,9269.7665625
315,[ 02:33:16.157 -->  02:33:16.410],NE,SPEAKER_01,9196.157812499998,9196.4109375
316,[ 02:34:29.665 -->  02:34:33.951],NF,SPEAKER_01,9269.665312500001,9273.951562499999
317,[ 02:34:33.951 -->  02:34:38.136],FF,SPEAKER_00,9273.951562499999,9278.1365625
318,[ 02:34:34.677 -->  02:34:43.992],NG,SPEAKER_01,9274.677187499998,9283.9921875
319,[ 02:34:43.131 -->  02:34:53.914],FG,SPEAKER_00,9283.131562499999,9293.9146875
320,[ 02:34:45.679 -->  02:34:45.882],NH,SPEAKER_01,9285.6796875,9285.8821875
321,[ 02:34:53.492 -->  02:35:28.575],NI,SPEAKER_01,9293.4928125,9328.575937499998
322,[ 02:35:21.674 -->  02:35:22.095],FH,SPEAKER_00,9321.674062499998,9322.095937499998
323,[ 02:35:28.677 -->  02:35:37.097],FI,SPEAKER_00,9328.677187499998,9337.0978125
324,[ 02:35:37.097 -->  02:35:45.332],NJ,SPEAKER_01,9337.0978125,9345.3328125
325,[ 02:35:44.505 -->  02:38:25.290],FJ,SPEAKER_00,9344.505937499998,9505.290937499998
326,[ 02:38:26.387 -->  02:39:29.685],FK,SPEAKER_00,9506.387812500001,9569.685937499999
327,[ 02:39:28.842 -->  02:39:35.828],NK,SPEAKER_01,9568.842187499999,9575.8284375
328,[ 02:39:34.056 -->  02:40:26.318],FL,SPEAKER_00,9574.056562499998,9626.318437499998
329,[ 02:40:27.499 -->  02:41:43.994],FM,SPEAKER_00,9627.4996875,9703.994062499998
330,[ 02:41:43.487 -->  02:42:10.167],NL,SPEAKER_01,9703.4878125,9730.1671875
331,[ 02:42:10.319 -->  02:42:49.283],FN,SPEAKER_00,9730.319062499999,9769.283437499998
332,[ 02:42:48.996 -->  02:42:49.182],NM,SPEAKER_01,9768.9965625,9769.182187499999
333,[ 02:42:50.228 -->  02:43:04.099],NN,SPEAKER_01,9770.228437499998,9784.099687499998
334,[ 02:43:05.382 -->  02:43:39.165],NO,SPEAKER_01,9785.3821875,9819.165937499998
335,[ 02:43:40.752 -->  02:43:42.456],NP,SPEAKER_01,9820.752187499998,9822.4565625
336,[ 02:43:40.887 -->  02:43:43.502],FO,SPEAKER_00,9820.8871875,9823.502812499999
337,[ 02:43:43.502 -->  02:43:47.603],NQ,SPEAKER_01,9823.502812499999,9827.603437499998
338,[ 02:43:46.995 -->  02:44:33.047],FP,SPEAKER_00,9826.9959375,9873.0478125
339,[ 02:44:33.047 -->  02:44:40.320],NR,SPEAKER_01,9873.0478125,9880.3209375
340,[ 02:44:40.810 -->  02:46:24.085],FQ,SPEAKER_00,9880.810312499998,9984.0853125
341,[ 02:46:24.085 -->  02:47:27.906],NS,SPEAKER_01,9984.0853125,10047.9065625
342,[ 02:47:21.814 -->  02:47:22.759],FR,SPEAKER_00,10041.814687499998,10042.759687499998
343,[ 02:47:27.450 -->  02:48:19.004],FS,SPEAKER_00,10047.450937499998,10099.0040625
344,[ 02:48:19.004 -->  02:48:23.442],NT,SPEAKER_01,10099.0040625,10103.4421875
345,[ 02:48:23.442 -->  02:48:35.997],FT,SPEAKER_00,10103.4421875,10115.997187500001
346,[ 02:48:35.997 -->  02:48:53.192],NU,SPEAKER_01,10115.997187500001,10133.192812500001
347,[ 02:48:53.192 -->  02:48:54.559],FU,SPEAKER_00,10133.192812500001,10134.559687500001
348,[ 02:48:54.407 -->  02:48:55.724],NV,SPEAKER_01,10134.407812499998,10135.724062500001
349,[ 02:48:55.572 -->  02:49:44.948],FV,SPEAKER_00,10135.572187499998,10184.9484375
350,[ 02:49:44.948 -->  02:49:48.154],NW,SPEAKER_01,10184.9484375,10188.154687499999
351,[ 02:49:47.985 -->  02:50:10.935],FW,SPEAKER_00,10187.985937499998,10210.935937499999
352,[ 02:50:10.935 -->  02:50:18.833],NX,SPEAKER_01,10210.935937499999,10218.833437500001
353,[ 02:50:18.833 -->  02:52:06.445],FX,SPEAKER_00,10218.833437500001,10326.4453125
354,[ 02:51:24.561 -->  02:51:24.865],NY,SPEAKER_01,10284.5615625,10284.865312499998
355,[ 02:52:06.445 -->  02:52:15.777],NZ,SPEAKER_01,10326.4453125,10335.7771875
356,[ 02:52:14.376 -->  02:52:14.477],FY,SPEAKER_00,10334.376562499998,10334.477812500001
357,[ 02:52:15.777 -->  02:52:29.445],FZ,SPEAKER_00,10335.7771875,10349.4459375
358,[ 02:52:29.445 -->  02:52:38.457],OA,SPEAKER_01,10349.4459375,10358.4571875
359,[ 02:52:37.124 -->  02:52:37.360],GA,SPEAKER_00,10357.1240625,10357.3603125
360,[ 02:52:38.322 -->  02:53:03.364],GB,SPEAKER_00,10358.322187499998,10383.364687500001
361,[ 02:53:02.740 -->  02:53:09.709],OB,SPEAKER_01,10382.740312499998,10389.709687499999
362,[ 02:53:07.583 -->  02:53:08.123],GC,SPEAKER_00,10387.583437500001,10388.123437499999
363,[ 02:53:09.929 -->  02:53:24.222],GD,SPEAKER_00,10389.9290625,10404.2221875
364,[ 02:53:23.429 -->  02:53:37.384],OC,SPEAKER_01,10403.4290625,10417.384687499998
365,[ 02:53:29.048 -->  02:53:29.959],GE,SPEAKER_00,10409.048437499998,10409.959687499999
366,[ 02:53:37.604 -->  02:53:38.042],GF,SPEAKER_00,10417.604062499999,10418.0428125
367,[ 02:53:38.042 -->  02:53:38.059],OD,SPEAKER_01,10418.0428125,10418.059687500001
368,[ 02:53:39.645 -->  02:53:51.222],OE,SPEAKER_01,10419.645937500001,10431.2221875
369,[ 02:53:50.277 -->  02:54:29.140],GG,SPEAKER_00,10430.2771875,10469.1403125
370,[ 02:54:29.140 -->  02:54:43.247],OF,SPEAKER_01,10469.1403125,10483.247812499998
371,[ 02:54:43.737 -->  02:55:03.447],GH,SPEAKER_00,10483.737187499999,10503.447187499998
372,[ 02:55:03.447 -->  02:55:04.307],OG,SPEAKER_01,10503.447187499998,10504.3078125
373,[ 02:55:04.493 -->  02:55:22.937],GI,SPEAKER_00,10504.493437500001,10522.9378125
374,[ 02:55:04.949 -->  02:55:07.497],OH,SPEAKER_01,10504.9490625,10507.497187500001
375,[ 02:55:22.937 -->  02:55:26.532],OI,SPEAKER_01,10522.9378125,10526.5321875
376,[ 02:55:26.262 -->  02:55:31.797],GJ,SPEAKER_00,10526.2621875,10531.7971875
377,[ 02:55:31.797 -->  02:55:34.581],OJ,SPEAKER_01,10531.7971875,10534.5815625
378,[ 02:55:35.121 -->  02:55:35.459],GK,SPEAKER_00,10535.1215625,10535.459062499998
379,[ 02:55:35.459 -->  02:55:35.475],OK,SPEAKER_01,10535.459062499998,10535.4759375
380,[ 02:55:36.252 -->  02:55:39.525],OL,SPEAKER_01,10536.252187499998,10539.525937499999
